step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,D_coh_deficit,D_coh_impossible_rate,D_dispo_MD,D_dispo_MO,D_dispo_AD,D_dispo_AO,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,O_coh_deficit,O_coh_impossible_rate,O_dispo_MD,O_dispo_MO,O_dispo_AD,O_dispo_AO,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,D_set_coh_deficit,D_set_coh_impossible_rate,D_set_dispo_MD,D_set_dispo_MO,D_set_dispo_AD,D_set_dispo_AO,D_set_coh_deficit_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std,O_set_coh_deficit,O_set_coh_impossible_rate,O_set_dispo_MD,O_set_dispo_MO,O_set_dispo_AD,O_set_dispo_AO,O_set_coh_deficit_bp_std,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.00034090265398845077,3.0416236196373347e-09,0.0011165523901581764,2.258711412350678e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.001181494399123537,0.0,0.001953125,0.0009765625,0.9296875,0.0673828125,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.0002090767934274547,0.0,0.0,0.001953125,0.0732421875,0.9248046875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00026306692378316233,0.0,0.0,0.0,0.9658203125,0.0341796875,0.001734986886487768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003431117524327987,0.0,0.0,0.0,0.0595703125,0.9404296875,0.002356853693363948,0.9598271553016162,0.9565539628402153,0.9892492640146643,0.9893474340406623,0.9992933778515269,0.9920964959393522,0.9769745598511548,,-0.9872741181306731,-0.5702711428507725,-0.003635148529084134,53377,3079,0.9987244356956746,49094,2601,0.9990065004284033,6592,3079,0.9629309515112134,116288,52408,0.9772162226819378,0.6922816451820615,-15.30987132691341,0.24318843594892164,-34.40496145178734,0.17526671762925858,0.28656035407521735,-10.221727943410858,0.20918268700666387,-129.15481111781116,-0.058765604705943233,0.9999999999999963,0.9999999999999962,0.9999999999999982,0.9999999999999979,0.9999999999998698,0.9999999999999972,0.9999999999999998,0.0
0,1,0.00034090265398845077,3.0416236196373347e-09,0.0011165523901581764,2.258711412350678e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.001181494399123537,0.0,0.001953125,0.0009765625,0.9296875,0.0673828125,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.0002090767934274547,0.0,0.0,0.001953125,0.0732421875,0.9248046875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00026306692378316233,0.0,0.0,0.0,0.9658203125,0.0341796875,0.001734986886487768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003431117524327987,0.0,0.0,0.0,0.0595703125,0.9404296875,0.002356853693363948,0.99676190848272,0.9967463793194065,0.9997039040859678,0.9997171123514011,0.9996911246813848,0.9998862752150902,0.9988302686960493,,-0.9004036290053103,-0.5530809210773724,0.12295816194678351,53377,3079,0.9993504566593492,49094,2601,0.9995214100492621,6592,3079,0.9993191573136497,116288,52408,0.9997997539576783,0.47515389588311147,-0.8458686454181694,0.7769634457041813,-29.915495327481185,0.5292985911807625,0.06804149991272894,0.3788510305511924,0.6887570137656619,0.32753588558654945,0.6427033180196006,0.9999999999997535,0.9999999999996986,0.9999999999997589,0.9999999999997344,0.9999999999983931,0.9999999999996949,0.9999999999999779,0.0
0,2,0.00034090265398845077,3.0416236196373347e-09,0.0011165523901581764,2.258711412350678e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.001181494399123537,0.0,0.001953125,0.0009765625,0.9296875,0.0673828125,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.0002090767934274547,0.0,0.0,0.001953125,0.0732421875,0.9248046875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00026306692378316233,0.0,0.0,0.0,0.9658203125,0.0341796875,0.001734986886487768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003431117524327987,0.0,0.0,0.0,0.0595703125,0.9404296875,0.002356853693363948,0.9984612843547099,0.998543349943116,0.9998536809813936,0.9998469192870487,0.9996077662156662,0.9999498218626253,0.9994923938692393,,-0.6643760622724052,-0.7799999615702555,0.24230573356983065,53377,3079,0.9992058349213235,49094,2601,0.999654349828873,6592,3079,0.9995494466136363,116288,52408,0.9999505300598135,0.5812702801123097,-16.096467940906837,0.5979643963789104,-23.41643744783991,0.9893437738980797,0.21293234268715308,-1.008787529732019,0.6653685831072232,0.3374576359734527,0.7673087641207503,0.9999999999986928,0.9999999999983262,0.9999999999977575,0.999999999997586,0.9999999999970333,0.9999999999957265,0.9999999999998488,0.0
1,0,0.000786692718975246,3.263351144866533e-09,0.003115697531029582,3.0540062145867353e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0017078255876169315,0.0,0.001953125,0.0,0.9326171875,0.0654296875,0.0,0.0078125,0.0,0.0,0.9892578125,0.0029296875,0.00229322371456766,0.0,0.0,0.0078125,0.103515625,0.888671875,0.0009765625,0.0,0.0,0.0,0.9990234375,0.0,0.0,0.001403947694052662,0.0,0.0009765625,0.0,0.966796875,0.0322265625,0.002319514938296413,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0019222378455243491,0.0,0.0,0.001953125,0.05859375,0.939453125,0.004809867876671393,0.9616514380083938,0.9557678239265835,0.9883664178034097,0.9885641880789084,0.9992070865818604,0.9910746558211525,0.9764519981136882,,-0.988113472530048,-0.5489243943260415,-0.05058918076555874,53377,3079,0.9986082189043902,49094,2601,0.9989530712598316,6592,3079,0.9716424419491807,116288,52408,0.9730278706520522,0.6686797445634868,-12.269398398562723,0.26531397313979077,-41.10807484243918,0.15897888476258296,0.3397370689455722,-8.142644330673082,0.23558125169735544,-47.35485653776268,0.003190789421000636,0.9486154201077818,0.956141701576648,0.9018303754837116,0.9053199811775905,0.9238351313302282,0.9118544957503486,0.9178035240051399,0.0
1,1,0.000786692718975246,3.263351144866533e-09,0.003115697531029582,3.0540062145867353e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0017078255876169315,0.0,0.001953125,0.0,0.9326171875,0.0654296875,0.0,0.0078125,0.0,0.0,0.9892578125,0.0029296875,0.00229322371456766,0.0,0.0,0.0078125,0.103515625,0.888671875,0.0009765625,0.0,0.0,0.0,0.9990234375,0.0,0.0,0.001403947694052662,0.0,0.0009765625,0.0,0.966796875,0.0322265625,0.002319514938296413,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0019222378455243491,0.0,0.0,0.001953125,0.05859375,0.939453125,0.004809867876671393,0.9959351679817086,0.996206709900463,0.9996387835056744,0.9996852328048912,0.999600716333965,0.9998856647151038,0.9986231933865044,,-0.900540850092372,-0.6669001952692308,0.11955916708313497,53377,3079,0.999038706083954,49094,2601,0.9994525849526502,6592,3079,0.9993680300810275,116288,52408,0.9997955935366089,0.48550021801895876,-1.1096060019823937,0.8363777460596167,-31.330923085806766,0.5189634339547677,0.08557053605227814,0.5097744870909486,0.7468429207091941,0.15599901177657005,0.602358815242267,0.9197264410345292,0.9144781089892885,0.95914176084614,0.9591034273370438,0.9657360079088778,0.9472182187853279,0.9384985289572966,0.0
1,2,0.000786692718975246,3.263351144866533e-09,0.003115697531029582,3.0540062145867353e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0017078255876169315,0.0,0.001953125,0.0,0.9326171875,0.0654296875,0.0,0.0078125,0.0,0.0,0.9892578125,0.0029296875,0.00229322371456766,0.0,0.0,0.0078125,0.103515625,0.888671875,0.0009765625,0.0,0.0,0.0,0.9990234375,0.0,0.0,0.001403947694052662,0.0,0.0009765625,0.0,0.966796875,0.0322265625,0.002319514938296413,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0019222378455243491,0.0,0.0,0.001953125,0.05859375,0.939453125,0.004809867876671393,0.9976873067576675,0.9979716109625397,0.9997699415693168,0.9997982597734419,0.9994547442421055,0.9999493078663465,0.9992368623836043,,-0.6305509338291976,-0.8281314977385594,0.30618986011567867,53377,3079,0.9988095671751457,49094,2601,0.9996097019043311,6592,3079,0.999662132066611,116288,52408,0.9999414751216682,0.5444948263529727,-26.478739629584926,-0.09646763937103923,-23.59126773261843,0.9826869597155826,0.22230521100788136,-0.7517029806006337,0.52362789508553,0.4470568445366505,0.8419689454747299,0.891008313425262,0.9241129852136409,0.8365595536729086,0.9104573707919352,0.8683640272545201,0.9558801307311003,0.8870827375018097,0.0
2,0,0.0027655460871756077,4.403016617970934e-09,0.008441665209829807,4.410363740880996e-10,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.002305361988731257,0.0,0.0048828125,0.0,0.935546875,0.0595703125,0.0,0.0146484375,0.0,0.0,0.9853515625,0.0,-0.0005414558406339638,0.0,0.0048828125,0.0146484375,0.0869140625,0.8935546875,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0019777025116291744,0.0,0.00390625,0.0,0.9658203125,0.0302734375,0.005032801426826714,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0008700034578549005,0.0,0.0,0.001953125,0.0712890625,0.9267578125,0.00247443966175581,0.9564530812987896,0.9569945906840132,0.9882284590762352,0.9883813832455863,0.9992077687594122,0.9919055004366556,0.9744486249507989,,-0.9883012035819,-0.558353243591528,-0.09321898520404649,53377,3079,0.9985412620883044,49094,2601,0.9989960957587904,6592,3079,0.9687069737261801,116288,52408,0.9744232905966833,0.6398948863898005,-15.319601363154913,0.23665281436251984,-41.0405934104477,0.16618231240648615,0.36841350306164167,-7.7935377380515085,0.2551665380404481,-18.879523300629415,0.05377321628307665,0.9115866046306892,0.9244725613839404,0.8409607484709235,0.8438323570402075,0.8809711380143879,0.8183357188188185,0.8754225101363533,0.0
2,1,0.0027655460871756077,4.403016617970934e-09,0.008441665209829807,4.410363740880996e-10,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.002305361988731257,0.0,0.0048828125,0.0,0.935546875,0.0595703125,0.0,0.0146484375,0.0,0.0,0.9853515625,0.0,-0.0005414558406339638,0.0,0.0048828125,0.0146484375,0.0869140625,0.8935546875,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0019777025116291744,0.0,0.00390625,0.0,0.9658203125,0.0302734375,0.005032801426826714,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0008700034578549005,0.0,0.0,0.001953125,0.0712890625,0.9267578125,0.00247443966175581,0.995276986061385,0.9957955867855826,0.9995918143069473,0.99967222772902,0.9995402958124079,0.999849495500716,0.9984291544236998,,-0.916297535602416,-0.7179999686875798,0.12074818231843007,53377,3079,0.9990208023459478,49094,2601,0.9994062794077042,6592,3079,0.9993680093367849,116288,52408,0.9997738705428084,0.549598611380332,0.14509178768333675,0.678562638510122,-33.675971988921326,0.48878852312710724,0.05681201246742608,0.38918961028870114,0.6997656983672921,-0.4465634730983594,0.47160789883778276,0.8283911423005625,0.8498781903306123,0.8980460830106508,0.9040439930529223,0.8666135145836031,0.888401334603522,0.8677242144543142,0.0
2,2,0.0027655460871756077,4.403016617970934e-09,0.008441665209829807,4.410363740880996e-10,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.002305361988731257,0.0,0.0048828125,0.0,0.935546875,0.0595703125,0.0,0.0146484375,0.0,0.0,0.9853515625,0.0,-0.0005414558406339638,0.0,0.0048828125,0.0146484375,0.0869140625,0.8935546875,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0019777025116291744,0.0,0.00390625,0.0,0.9658203125,0.0302734375,0.005032801426826714,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0008700034578549005,0.0,0.0,0.001953125,0.0712890625,0.9267578125,0.00247443966175581,0.9970438329878508,0.9976335837006158,0.9997047343292068,0.9997512994743586,0.9994224105572221,0.9999478169786102,0.9990153383830271,,-0.6921677125299556,-0.8636322231923881,0.4089198587947912,53377,3079,0.999001268448022,49094,2601,0.9995971630192415,6592,3079,0.9996781561375356,116288,52408,0.9999316020937816,0.504900532778201,-13.3933295116394,-0.10805014032119072,-23.25500877879541,0.9762453522492963,0.22903111781443697,-0.6204992211613383,-0.4133764950037658,0.3309983057209981,0.820433504216831,0.6824471057956455,0.8409250034744616,0.5759715453001559,0.8315289075257616,0.583382987844316,0.8721199026273121,0.7417540938351476,0.0
3,0,0.01028815470635891,6.054798440402465e-09,0.025680221617221832,6.883454362061059e-10,0.0205078125,0.0,0.0,0.0,0.9794921875,0.0,-0.00021705259799184617,0.0,0.0205078125,0.001953125,0.9228515625,0.0546875,0.0,0.0302734375,0.0,0.0,0.9677734375,0.001953125,-0.002908647037347175,0.0,0.01171875,0.03125,0.0654296875,0.8916015625,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0009785875086306133,0.0,0.00390625,0.0,0.96875,0.02734375,0.004080061716111052,0.0,0.0029296875,0.0,0.0,0.99609375,0.0009765625,0.013210692635223323,0.0028481934348895434,0.0,0.0009765625,0.001953125,0.080078125,0.9169921875,0.01097122846709246,0.9566447808375728,0.9541830238140797,0.988800298174264,0.9889169931135964,0.9991662285470899,0.9923118304815804,0.975275986107693,,-0.9851587944575633,-0.48425579229773513,-0.19960192031183158,53377,3079,0.9985831330987407,49094,2601,0.9988775529469088,6592,3079,0.9602052909091618,116288,52408,0.97593257995879,0.6184792497688754,-14.261310390600425,0.24337006535163186,-44.1333847681249,0.16769425762081544,0.3636528017204712,-6.189713435704285,0.2622529677409623,-4.690494767463772,0.17347498115743798,0.891087702877195,0.8893210730378737,0.7953235466589698,0.7985712888280994,0.7904168478580551,0.7647456706935347,0.8380052131654794,0.0
